PCs EigenValues
PC1 13.995482205692102
PC2 4.166361955658892
PC3 0.45095120113652687
PC4 0.1719387672585372
PC5 0.11340584490432574
PC6 0.05247965439575554
PC7 0.022064715196336508
PC8 0.014268931979642331
PC9 0.006202985596245106
PC10 0.0024830918884646397
