PCs V1 V2 V3 V4 V5 V6 V7 V8 V9 V10 V11 V12 V13 V14 V15 V16 V17 V18 V19
PC1 0.24979956442645287 0.2515299105841442 0.25152991058413066 0.12235712093973201 0.19005747606090898 0.2516527739803793 0.2551981991518111 0.23084943984366893 0.2515765991441838 0.12756857697316565 0.2613935562032 0.20188292461582674 0.24977728582159092 0.2018829246568722 0.2511716071672875 0.20908233850084817 0.21250332705521519 0.25918856966284215 0.2594100087659158
PC2 -0.16807004918258117 -0.1610096593669108 -0.16100965936690248 0.3958986578823841 -0.2216129910439886 -0.0999718514554746 -0.11143504365800973 0.2363652018157628 -0.15522210266808834 0.4090016251139673 -0.07061206686025856 0.31418684851187795 -0.16841203748938002 0.31418684841024785 -0.15674892973499233 0.29665960993778007 0.28876241994749724 -0.11056200710025196 -0.07374971109770849
PC3 0.08844895989121403 0.059597758718787294 0.05959775871878434 0.41129082590021615 0.7124780738932902 -0.16011857604006596 -0.10554312164320317 0.016355158822699483 -0.012268999423760347 0.32771542825783095 -0.15561109228390196 -0.11245299203633713 0.08526656212442572 -0.11245299266591215 -0.01027347540989932 -0.14834623420773843 -0.16503395641376736 -0.08127576494201057 -0.22575309583668096
PC4 0.12386602113942967 0.11043891437298992 0.11043891437298418 0.49304961055787366 -0.5870133400843395 0.02574530190901354 -0.01890770504573583 -0.16473801488936443 0.24053415617900206 0.22410763289897137 -0.10824124604205877 -0.22160249671981316 0.1263678217907656 -0.2216024975937195 0.24538016168362983 -0.13389634723288876 -0.17730742144574585 0.02467921584188033 -0.015946983256012803
PC5 -0.1293248679363226 -0.12879898159767744 -0.12879898159767075 0.19667515869773058 0.08690787593597134 0.7073813449583883 0.5054671439994474 -0.17615058086343385 -0.14953140667627865 0.019970858928666412 -0.06183719079139126 -0.10868911523713169 -0.13191570588194104 -0.10868911454816385 -0.15768537713278027 0.058970182440049236 -0.014398666778919458 -0.12283190897192676 -0.07550047958261556
PC6 -0.07741190215466837 -0.07038947790997341 -0.07038947790996969 0.4875720719399901 0.11948573680129215 -0.2205670741696029 -0.07977475936081922 -0.34453010129060624 -0.1263684922815213 -0.3815581456115881 0.35706877558685446 -0.10140434294252243 -0.07599582983901089 -0.10140434120407675 -0.12970485651666652 0.19115081784481058 0.10810974506714996 0.17185018070386116 0.3852309407655232
PC7 -0.09445352228201767 -0.11155608839631002 -0.11155608839630417 -0.2749229099490133 -0.00199039987251656 -0.12638722770650812 0.1448224680056013 -0.09257738451604709 -0.09443638139342943 0.6677390656679834 0.3090367537130263 -0.18202820700245742 -0.0692125749556234 -0.18202820988745397 -0.094786473603693 -0.19659756146236074 0.02327323570996626 0.13861227344654276 0.39539623929267653
PC8 -0.11728145223384215 -0.08629003393759585 -0.0862900339375908 0.2438118514067474 -0.06399155651320099 -0.05135767626188443 0.22449092091019737 0.5417333099927584 -0.06974664282031157 -0.21229608179670637 0.13342228661840755 0.12250778104331983 -0.07380823837518724 0.12250777916027465 -0.08024514356154318 -0.561488137191711 -0.31726095528609877 0.13685704019034658 0.13043369667175891
PC9 -0.0034730436488828375 -0.0065508800274898995 -0.006550880027489264 0.005112045275457543 -0.017303788418275824 0.07500547924866634 -0.1472167752209437 0.6326522672429316 -0.014020355828511103 -0.07719396370592568 0.08854944398388542 -0.464580025188589 -0.03498245964159851 -0.4645800127283287 -0.03338548504690027 0.2742867203318747 0.19869611285901184 -0.0964951878735069 -0.000598893866418019
PC10 -0.004931129867762941 -0.019663825477638324 -0.019663825477636433 -0.017227731076260105 -0.009738236413377411 0.37359636470302804 -0.4789914872403026 0.002229727308625951 -0.11590687057030227 0.07939934717751496 -0.02776865292992541 0.004569647917349787 -0.04948955835813607 0.004569641930949098 -0.16396565400012053 0.013031683070447131 -0.14817810433924689 0.7308519790407351 -0.15375955445850537
