PCs V1 V2 V3 V4 V5 V6 V7 V8 V9 V10 V11 V12 V13 V14 V15 V16 V17 V18 V19
PC1 0.14801484246339486 0.07829438754464418 0.07829438723398507 0.25005110163734395 0.04583527475624421 0.11362580256378207 0.148109721985202 0.3009944458449064 0.16336544812751758 0.2990484823312553 0.20252346686118705 0.3259506132188124 0.18069961919007624 0.32595061325074337 0.1453931586208268 0.3271043240540383 0.3313317614954103 0.26476125926019833 0.2558721228541784
PC2 -0.37391399823966304 -0.3477107408929656 -0.3477107410241354 0.18165299599722057 -0.06213064122445205 -0.049324154343504005 -0.0709886875927637 0.17223876244706054 -0.333981871724608 0.20508842206702196 -0.05760130760307488 0.17600182618293225 -0.3728813594762621 0.17600182588625765 -0.24002689063225852 0.1801908258223085 0.17468664025474528 -0.21419618371535004 -0.14139445926471353
PC3 -0.1546018190416009 -0.35527951481327535 -0.3552795147127261 -0.15446907521288103 0.33408238938126 0.3547741275759261 0.4450923256125515 -0.059460416171032225 -0.037455780370302325 -0.1436002358404037 0.27832090807975546 -0.11775000176618973 -0.01612262226883279 -0.11775000136131085 0.12196318745402766 -0.07770881994318839 -0.06433956949957634 0.15205369668881613 0.2915851998675047
PC4 0.13798559913378036 0.11346051377316613 0.11346051425881802 0.12312593586894748 0.842136673854152 -0.05693211500771914 0.08138325463500061 0.049866318298686735 -0.08898420712223286 0.07231933555904699 -0.20491055996743698 0.024542766344787113 0.08456976883152276 0.024542765742534993 -0.34523870153168806 -0.014346273320210113 -0.011057706989020994 -0.09253341633607652 -0.16411714936578323
PC5 0.0924048021270891 0.12072064351192931 0.12072064384335128 0.020946584669308183 -0.25668883021802724 0.8101702278884041 0.16487334688381142 0.014619407955368965 -0.03684441138081561 0.012300661460783988 -0.2794538348390062 0.021781604427818124 0.009565265209816305 0.021781604285177565 -0.33203308646444707 -0.005294510216291487 -0.003676877758442525 -0.08325073502512127 -0.11979943211862272
PC6 0.07964427712392926 0.10070933072970975 0.10070933043401777 -0.20571204783070896 -0.13079561414081722 -0.12861967435910415 0.014081987301297477 -0.01876238053628018 -0.10995898309202873 -0.08662562302246922 0.6255707855657533 0.028298520282555265 0.007107266886480175 0.02829852154175267 -0.6861835423780988 0.0006675398677672844 0.008395099636982643 0.09171882786905829 0.0702618726471529
PC7 0.009154578336130665 0.06515141493547448 0.06515141451147315 0.1931862735709302 0.1990620525568268 0.3882253018505866 -0.5199389391236829 -0.012060601774575574 -0.1349877114228933 0.04363438453972957 0.5352367547505411 -0.054710299750816524 -0.025237781457773154 -0.054710300539380884 0.28869308242659397 -0.017107610395316337 -0.0449973073448152 -0.21662344547175016 -0.21786475981249503
PC8 0.09370478209353539 0.0003365044516336989 0.000336504126120254 0.6312140459922202 -0.18092777922219858 -0.16125611007023474 0.5269462840902915 -0.027537652805421874 0.06713628255969557 0.040612258950686396 0.2268179012734708 -0.13775230376895142 0.06784375707155679 -0.13775230588790127 0.016874988153932333 -0.11376773337076665 -0.12118812417303959 -0.25876818933220963 -0.24614293853094324
PC9 -0.046183338609204656 -0.2468800821642135 -0.24688008235733516 0.3075237881173001 0.03196223847608838 0.06592360304928502 -0.3565939128355647 -0.10208407560728708 0.7022875332702471 -0.011015551946960321 -0.042683646152614683 -0.07104024980043833 0.03737767685558999 -0.07104025088726572 -0.32437449106539656 -0.02446854295626218 -0.05159698020557266 0.14139713463867604 0.05774363226628504
PC10 0.014817048741245578 0.04069721976011981 0.040697218841507225 0.5144261091438173 -0.04359566494858819 0.004274275586631836 -0.19214685935727807 -0.16651108576924778 -0.5076649412086672 -0.15634421686635142 -0.14483184898596008 -0.09766397325750181 0.026241607643154034 -0.09766397316471902 -0.0756746722357999 -0.05163861618622706 -0.06764005844464638 0.42856694737827206 0.3817353693998551
