PCs %
PC1 0.3919754105547627
PC2 0.2448752060335156
PC3 0.13101913605642612
PC4 0.044144438661901084
PC5 0.03880317903888645
PC6 0.031080746045043895
PC7 0.02476583444254435
PC8 0.020461617157953443
PC9 0.017961672843932235
PC10 0.014895571112907477
